skill_normalized,candidate_count
ci/cd,2
github,2
grafana,2
prometheus,2
cloud,1
docker,1
kubernetes,1
terraform,1
jenkins,1
sonarqube,1
power bi developer,1
business intelligence developer,1
data visualization specialist,1
microsoft fabric,1
fabric,1
java,1
spring,1
spring boot,1
node.js,1
express.js,1
microservices,1
apache,1
kafka,1
react,1
angular,1
aws,1
sdlc,1
graphql,1
azure,1
javascript,1
typescript,1
