skill_normalized,candidate_count
python,0
sql,0
excel,0
linux,0
salesforce,0
sap,0
oracle,0
mysql,0
postgresql,0
tableau,0
powerpoint,0
sharepoint,0
hadoop,0
spark,0
scala,0
rust,0
machine learning,0
data engineering,0
etl,0
mongodb,0
selenium,0
agile,0
scrum,0
c#,0
php,0
